prop0;prop1;prop2;allprop;;
2.048733234405517578e+00;7.774558258056640625e+01;-2.281229496002197266e-01;2.146101236343383789e+00;7.703332519531250000e+01;-2.354251891374588013e-01
1.413574218750000000e+00;8.309951782226562500e+01;-2.235791832208633423e-01;2.112638473510742188e+00;8.167129516601562500e+01;-2.278730273246765137e-01
1.943010091781616211e+00;8.006567382812500000e+01;-2.417094260454177856e-01;1.900953054428100586e+00;7.922559356689453125e+01;-2.360433936119079590e-01
2.191482067108154297e+00;7.409326934814453125e+01;-2.451230138540267944e-01;2.052022933959960938e+00;7.320968627929687500e+01;-2.401326894760131836e-01
1.482049465179443359e+00;8.528070831298828125e+01;-2.438462674617767334e-01;1.786925792694091797e+00;8.521226501464843750e+01;-2.344125807285308838e-01
1.496165752410888672e+00;8.552428436279296875e+01;-2.531161308288574219e-01;1.604773879051208496e+00;8.570965576171875000e+01;-2.363308966159820557e-01
1.896256208419799805e+00;8.017439270019531250e+01;-2.427878081798553467e-01;1.903570532798767090e+00;7.966481781005859375e+01;-2.359981536865234375e-01
1.486703157424926758e+00;8.653461456298828125e+01;-2.456786632537841797e-01;1.666451811790466309e+00;8.674640655517578125e+01;-2.378609329462051392e-01
2.753201723098754883e+00;7.587655639648437500e+01;-2.467269599437713623e-01;2.566857576370239258e+00;7.499884796142578125e+01;-2.388363778591156006e-01
3.683850049972534180e+00;7.897016143798828125e+01;-2.425113320350646973e-01;2.859835147857666016e+00;7.850736999511718750e+01;-2.392299473285675049e-01
2.845707654953002930e+00;7.597628784179687500e+01;-2.621174454689025879e-01;3.207006931304931641e+00;7.434213256835937500e+01;-2.459425032138824463e-01
3.295751571655273438e+00;7.693446350097656250e+01;-2.397740483283996582e-01;2.865597009658813477e+00;7.706250762939453125e+01;-2.427556365728378296e-01
3.034063577651977539e+00;8.500720214843750000e+01;-2.427298128604888916e-01;2.555145740509033203e+00;8.534780120849609375e+01;-2.404301613569259644e-01
3.238609552383422852e+00;8.280599212646484375e+01;-2.352614700794219971e-01;2.670721054077148438e+00;8.353972625732421875e+01;-2.387951314449310303e-01
4.939986705780029297e+00;7.910651397705078125e+01;-2.451023906469345093e-01;2.585777282714843750e+00;8.052733612060546875e+01;-2.390159368515014648e-01
8.730035781860351562e+00;7.976827239990234375e+01;-2.050649672746658325e-01;2.948477268218994141e+00;7.877093505859375000e+01;-2.447802126407623291e-01
2.164463520050048828e+00;8.162838745117187500e+01;-2.404406666755676270e-01;2.524044513702392578e+00;7.998475646972656250e+01;-2.310288399457931519e-01
2.047552824020385742e+00;8.185838317871093750e+01;-2.552566230297088623e-01;1.783623814582824707e+00;8.202219390869140625e+01;-2.349310517311096191e-01
1.162646293640136719e+00;8.549532318115234375e+01;-2.604794204235076904e-01;1.634042143821716309e+00;8.600988769531250000e+01;-2.383660823106765747e-01
1.824121475219726562e+00;8.289566802978515625e+01;-2.308017015457153320e-01;2.029989957809448242e+00;8.275833129882812500e+01;-2.323105037212371826e-01
1.757083654403686523e+00;8.011476135253906250e+01;-2.450334727764129639e-01;1.909710168838500977e+00;7.941432189941406250e+01;-2.343792915344238281e-01
1.846769094467163086e+00;8.027433776855468750e+01;-2.566644251346588135e-01;1.728018641471862793e+00;8.051233673095703125e+01;-2.402383983135223389e-01
1.393067121505737305e+00;8.523532867431640625e+01;-2.413558661937713623e-01;1.782908201217651367e+00;8.485472869873046875e+01;-2.311517298221588135e-01
1.521793127059936523e+00;8.537934112548828125e+01;-2.573186755180358887e-01;1.611840963363647461e+00;8.589321136474609375e+01;-2.366649210453033447e-01
1.811107873916625977e+00;7.988912200927734375e+01;-2.517693638801574707e-01;1.883876800537109375e+00;7.986859130859375000e+01;-2.364271879196166992e-01
1.054617643356323242e+00;8.521655273437500000e+01;-2.463258504867553711e-01;1.728877544403076172e+00;8.470166015625000000e+01;-2.327036857604980469e-01
1.439322590827941895e+00;7.971218109130859375e+01;-2.424627840518951416e-01;2.010839462280273438e+00;7.857403564453125000e+01;-2.321119755506515503e-01
1.966951608657836914e+00;7.955047607421875000e+01;-2.451228797435760498e-01;2.179115056991577148e+00;7.825762176513671875e+01;-2.333798110485076904e-01
3.115529775619506836e+00;7.563862609863281250e+01;-2.666247189044952393e-01;3.112556934356689453e+00;7.601580810546875000e+01;-2.534465789794921875e-01
1.922379255294799805e+00;8.057786560058593750e+01;-2.538532018661499023e-01;1.789478063583374023e+00;8.046607971191406250e+01;-2.398936748504638672e-01
6.030179858207702637e-01;9.096823883056640625e+01;-2.612008452415466309e-01;1.557270288467407227e+00;9.197663116455078125e+01;-2.373073995113372803e-01
2.864067554473876953e+00;8.766795349121093750e+01;-2.756160497665405273e-01;2.753578424453735352e+00;8.814597320556640625e+01;-2.498580515384674072e-01
1.344234824180603027e+00;8.566600799560546875e+01;-2.487847506999969482e-01;1.822593212127685547e+00;8.578936004638671875e+01;-2.331080287694931030e-01
1.185631871223449707e+00;8.592344665527343750e+01;-2.446769922971725464e-01;1.784328103065490723e+00;8.501397705078125000e+01;-2.317333519458770752e-01
3.150573015213012695e+00;8.209382629394531250e+01;-2.571774721145629883e-01;3.099711656570434570e+00;8.051860809326171875e+01;-2.451716065406799316e-01
3.610345840454101562e+00;7.305906677246093750e+01;-2.490822374820709229e-01;2.604857921600341797e+00;7.290745544433593750e+01;-2.401090562343597412e-01
4.060895919799804688e+00;6.901394653320312500e+01;-2.684239447116851807e-01;2.611463069915771484e+00;6.991916656494140625e+01;-2.457523047924041748e-01
2.303548812866210938e+00;8.071363067626953125e+01;-2.503222525119781494e-01;2.462940216064453125e+00;8.016931152343750000e+01;-2.435210347175598145e-01
2.077574014663696289e+00;8.040235137939453125e+01;-2.516322135925292969e-01;2.210468053817749023e+00;8.134118652343750000e+01;-2.416599988937377930e-01
2.249023199081420898e+00;7.523359680175781250e+01;-2.504317164421081543e-01;3.561058998107910156e+00;7.319329071044921875e+01;-2.463219165802001953e-01
2.186247825622558594e+00;8.182167053222656250e+01;-2.456971853971481323e-01;3.351917505264282227e+00;8.026283264160156250e+01;-2.423430085182189941e-01
2.223891496658325195e+00;7.957479095458984375e+01;-2.476882636547088623e-01;3.781880140304565430e+00;7.811629486083984375e+01;-2.479628920555114746e-01
2.548248529434204102e+00;7.193215942382812500e+01;-2.519522309303283691e-01;3.381087779998779297e+00;7.260033416748046875e+01;-2.491745352745056152e-01
2.264749050140380859e+00;7.192278289794921875e+01;-2.472566068172454834e-01;3.580919265747070312e+00;7.105995178222656250e+01;-2.460211366415023804e-01
2.713539838790893555e+00;7.582176208496093750e+01;-2.505118250846862793e-01;2.546647787094116211e+00;7.501068115234375000e+01;-2.372984588146209717e-01
2.444010019302368164e+00;7.987673187255859375e+01;-2.488202601671218872e-01;2.333335876464843750e+00;7.932574462890625000e+01;-2.417211234569549561e-01
2.523990154266357422e+00;8.549547576904296875e+01;-2.451779842376708984e-01;2.167812585830688477e+00;8.554253387451171875e+01;-2.386592626571655273e-01
2.313468217849731445e+00;7.991291046142578125e+01;-2.489679753780364990e-01;2.514103412628173828e+00;7.962048339843750000e+01;-2.401689887046813965e-01
2.129391908645629883e+00;7.307366180419921875e+01;-2.556361556053161621e-01;2.492456912994384766e+00;7.359864807128906250e+01;-2.438832670450210571e-01
2.988485813140869141e+00;7.584268188476562500e+01;-2.435925900936126709e-01;2.787962675094604492e+00;7.512375640869140625e+01;-2.368786931037902832e-01
3.536317825317382812e+00;8.074834442138671875e+01;-2.818112969398498535e-01;3.446975231170654297e+00;7.946813964843750000e+01;-2.625561356544494629e-01
4.797315120697021484e+00;7.548067474365234375e+01;-3.113912642002105713e-01;5.256369590759277344e+00;7.347585296630859375e+01;-2.821749448776245117e-01
3.624980211257934570e+00;8.713114929199218750e+01;-2.826324105262756348e-01;3.282110691070556641e+00;8.619787597656250000e+01;-2.579698562622070312e-01
4.700687408447265625e+00;8.275389862060546875e+01;-3.094573020935058594e-01;4.951758384704589844e+00;8.104113006591796875e+01;-2.757450342178344727e-01
3.277137756347656250e+00;8.356463623046875000e+01;-2.619715929031372070e-01;3.272494316101074219e+00;8.366342163085937500e+01;-2.598799765110015869e-01
4.582333087921142578e+00;7.871630096435546875e+01;-2.638787329196929932e-01;5.090459823608398438e+00;7.807939910888671875e+01;-2.725149095058441162e-01
3.337803602218627930e+00;8.044087219238281250e+01;-2.692447602748870850e-01;3.175593852996826172e+00;7.920387268066406250e+01;-2.560825347900390625e-01
4.569407463073730469e+00;7.526351928710937500e+01;-2.891938686370849609e-01;4.901978015899658203e+00;7.375563812255859375e+01;-2.760791778564453125e-01
3.357359647750854492e+00;7.641468048095703125e+01;-2.663859724998474121e-01;3.448537826538085938e+00;7.640613555908203125e+01;-2.676153182983398438e-01
4.780922889709472656e+00;7.060295104980468750e+01;-2.858110070228576660e-01;5.306492328643798828e+00;7.002832031250000000e+01;-2.899995148181915283e-01
4.963142395019531250e+00;7.474738311767578125e+01;-2.649570703506469727e-01;5.456392288208007812e+00;7.395935058593750000e+01;-2.843841612339019775e-01
3.502634286880493164e+00;7.672980499267578125e+01;-2.575564384460449219e-01;3.430508136749267578e+00;7.646219635009765625e+01;-2.644588351249694824e-01
1.837703943252563477e+00;7.816329956054687500e+01;-2.574715912342071533e-01;1.809673070907592773e+00;7.767119598388671875e+01;-2.485426366329193115e-01
3.306965112686157227e+00;7.276021575927734375e+01;-2.814304232597351074e-01;3.160193920135498047e+00;7.294124603271484375e+01;-2.673417329788208008e-01
2.549672126770019531e+00;7.966184997558593750e+01;-2.533419728279113770e-01;2.497323036193847656e+00;7.858947753906250000e+01;-2.373729199171066284e-01
1.333810091018676758e+00;8.626127624511718750e+01;-2.408574074506759644e-01;1.801234960556030273e+00;8.562623596191406250e+01;-2.340125143527984619e-01
1.454357624053955078e+00;8.644335174560546875e+01;-2.406609207391738892e-01;1.660317540168762207e+00;8.666490173339843750e+01;-2.382402569055557251e-01
4.632154464721679688e+00;7.333838653564453125e+01;-2.495068609714508057e-01;3.354035854339599609e+00;7.251807403564453125e+01;-2.479220628738403320e-01
2.773321866989135742e+00;7.960504913330078125e+01;-2.424331605434417725e-01;2.788311004638671875e+00;7.835292816162109375e+01;-2.392914295196533203e-01
2.490837812423706055e+00;7.978816986083984375e+01;-2.464382648468017578e-01;2.691266536712646484e+00;7.962102508544921875e+01;-2.428303062915802002e-01
2.707017660140991211e+00;7.337460327148437500e+01;-2.502931952476501465e-01;2.819578409194946289e+00;7.321521759033203125e+01;-2.478364109992980957e-01
4.102712631225585938e+00;7.286771392822265625e+01;-2.438125908374786377e-01;3.129167079925537109e+00;7.340036773681640625e+01;-2.433660030364990234e-01
2.974380731582641602e+00;7.316967010498046875e+01;-2.455610334873199463e-01;2.917594432830810547e+00;7.185793304443359375e+01;-2.442034929990768433e-01
2.183686733245849609e+00;7.692528533935546875e+01;-2.509671449661254883e-01;1.872208833694458008e+00;7.654061889648437500e+01;-2.417221665382385254e-01
6.205331087112426758e-01;9.077726745605468750e+01;-2.609869241714477539e-01;1.546867132186889648e+00;9.184028625488281250e+01;-2.367885410785675049e-01
1.455930471420288086e+00;8.685713958740234375e+01;-2.520990073680877686e-01;1.625952839851379395e+00;8.696208190917968750e+01;-2.350702285766601562e-01
1.839414954185485840e+00;8.226885223388671875e+01;-2.487840056419372559e-01;1.782501459121704102e+00;8.224151611328125000e+01;-2.365728020668029785e-01
2.142147779464721680e+00;7.690393829345703125e+01;-2.485682964324951172e-01;1.915912389755249023e+00;7.660667419433593750e+01;-2.402586340904235840e-01
1.864859580993652344e+00;7.672611236572265625e+01;-2.476404011249542236e-01;2.032120704650878906e+00;7.548226928710937500e+01;-2.363865375518798828e-01
1.807371973991394043e+00;8.012174224853515625e+01;-2.534482181072235107e-01;1.716928243637084961e+00;7.972039794921875000e+01;-2.401331961154937744e-01
1.901784896850585938e+00;7.681922149658203125e+01;-2.403131276369094849e-01;2.095758438110351562e+00;7.640865325927734375e+01;-2.361579686403274536e-01
1.435453653335571289e+00;8.534380340576171875e+01;-2.511717081069946289e-01;1.776133298873901367e+00;8.591021728515625000e+01;-2.362754940986633301e-01
1.157667040824890137e+00;8.528713989257812500e+01;-2.413006722927093506e-01;1.719971060752868652e+00;8.439336395263671875e+01;-2.323627322912216187e-01
1.562377691268920898e+00;8.020757293701171875e+01;-2.465711981058120728e-01;2.005887031555175781e+00;7.921835327148437500e+01;-2.346093356609344482e-01
1.844764947891235352e+00;8.035665130615234375e+01;-2.506605982780456543e-01;1.720775127410888672e+00;8.015852355957031250e+01;-2.398929595947265625e-01
2.300215482711791992e+00;7.696916961669921875e+01;-2.418465465307235718e-01;2.111375808715820312e+00;7.681979370117187500e+01;-2.399079203605651855e-01
1.526821255683898926e+00;8.018165588378906250e+01;-2.450314313173294067e-01;1.844957351684570312e+00;7.897972106933593750e+01;-2.357774525880813599e-01
2.049587726593017578e+00;7.678374481201171875e+01;-2.398957461118698120e-01;2.229589939117431641e+00;7.559898376464843750e+01;-2.359273433685302734e-01
2.705062150955200195e+00;7.026955413818359375e+01;-2.444017976522445679e-01;2.264845371246337891e+00;6.982556915283203125e+01;-2.454067766666412354e-01
1.946167469024658203e+00;8.038296508789062500e+01;-2.532930076122283936e-01;1.747793912887573242e+00;7.978372955322265625e+01;-2.408002912998199463e-01
1.232617735862731934e+00;8.584217071533203125e+01;-2.458654046058654785e-01;1.751284837722778320e+00;8.482618713378906250e+01;-2.328312397003173828e-01
1.419202089309692383e+00;8.601554870605468750e+01;-2.558501064777374268e-01;1.634164214134216309e+00;8.622286224365234375e+01;-2.385542839765548706e-01
1.550335407257080078e+00;8.601730346679687500e+01;-2.534750103950500488e-01;1.622300386428833008e+00;8.608918762207031250e+01;-2.371703982353210449e-01
3.188343524932861328e+00;8.225568389892578125e+01;-2.705543041229248047e-01;2.909363746643066406e+00;8.206053924560546875e+01;-2.508329153060913086e-01
3.012126684188842773e+00;7.550138854980468750e+01;-2.471153885126113892e-01;2.217637538909912109e+00;7.479164123535156250e+01;-2.377324104309082031e-01
3.669549703598022461e+00;7.240939331054687500e+01;-2.509555220603942871e-01;2.580129861831665039e+00;7.272418975830078125e+01;-2.409453392028808594e-01
3.315429925918579102e+00;8.439668273925781250e+01;-2.410137951374053955e-01;2.245886087417602539e+00;8.569429016113281250e+01;-2.334185242652893066e-01
3.059294462203979492e+00;8.185601043701171875e+01;-2.617419958114624023e-01;2.542610168457031250e+00;8.196627044677734375e+01;-2.394747585058212280e-01
2.596002578735351562e+00;8.156204986572265625e+01;-2.468788325786590576e-01;2.067746162414550781e+00;8.169332885742187500e+01;-2.355163097381591797e-01
3.382052898406982422e+00;7.894792175292968750e+01;-2.453794777393341064e-01;2.389554023742675781e+00;7.969298553466796875e+01;-2.367659360170364380e-01
2.358531951904296875e+00;8.163833618164062500e+01;-2.480270266532897949e-01;2.061061859130859375e+00;8.178092193603515625e+01;-2.346940487623214722e-01
2.741631269454956055e+00;7.569664764404296875e+01;-2.504472136497497559e-01;2.234821319580078125e+00;7.553517913818359375e+01;-2.384204864501953125e-01
2.663885831832885742e+00;7.549945068359375000e+01;-2.499212026596069336e-01;2.368154525756835938e+00;7.418210601806640625e+01;-2.338902354240417480e-01
3.133923768997192383e+00;6.850406646728515625e+01;-2.538466453552246094e-01;2.422654867172241211e+00;6.796115875244140625e+01;-2.435527443885803223e-01
4.596845149993896484e+00;7.524980926513671875e+01;-2.568522393703460693e-01;4.225317001342773438e+00;7.578004455566406250e+01;-2.586623132228851318e-01
3.980333805084228516e+00;7.418592834472656250e+01;-2.602199316024780273e-01;3.898603439331054688e+00;7.458937835693359375e+01;-2.644357979297637939e-01
4.497316837310791016e+00;7.126383972167968750e+01;-2.719157934188842773e-01;4.530690193176269531e+00;7.116304016113281250e+01;-2.704865336418151855e-01
2.234569787979125977e+00;8.592078399658203125e+01;-2.506047189235687256e-01;1.991895914077758789e+00;8.651759338378906250e+01;-2.366947084665298462e-01
3.637335777282714844e+00;7.805870819091796875e+01;-2.804816961288452148e-01;3.497860193252563477e+00;7.872487640380859375e+01;-2.598082721233367920e-01
2.305030584335327148e+00;7.981354522705078125e+01;-2.527114152908325195e-01;2.183819293975830078e+00;7.991371154785156250e+01;-2.396918237209320068e-01
2.912598609924316406e+00;7.474652099609375000e+01;-2.551921606063842773e-01;2.960747957229614258e+00;7.380554199218750000e+01;-2.398711442947387695e-01
3.394450664520263672e+00;7.126333618164062500e+01;-2.562644481658935547e-01;3.269489765167236328e+00;7.185960388183593750e+01;-2.428204864263534546e-01
3.028667211532592773e+00;7.004252624511718750e+01;-2.648339271545410156e-01;3.009014844894409180e+00;7.082684326171875000e+01;-2.477169036865234375e-01
3.318516492843627930e+00;6.710092926025390625e+01;-2.716195583343505859e-01;3.542663097381591797e+00;6.750344848632812500e+01;-2.513311505317687988e-01
2.914271831512451172e+00;8.139364624023437500e+01;-2.499576210975646973e-01;2.713031530380249023e+00;8.115294647216796875e+01;-2.364233285188674927e-01
2.321972370147705078e+00;8.523696899414062500e+01;-2.380227744579315186e-01;1.921355485916137695e+00;8.473979949951171875e+01;-2.316111624240875244e-01
3.000068426132202148e+00;7.944336700439453125e+01;-2.388764321804046631e-01;2.398608446121215820e+00;8.051432800292968750e+01;-2.391822040081024170e-01
1.558964610099792480e+00;8.358448791503906250e+01;-2.475657761096954346e-01;2.008333444595336914e+00;8.209996032714843750e+01;-2.345244288444519043e-01
2.550446271896362305e+00;7.852806854248046875e+01;-2.512401938438415527e-01;2.554279327392578125e+00;7.696794891357421875e+01;-2.347697615623474121e-01
1.922380447387695312e+00;7.537393188476562500e+01;-2.356538772583007812e-01;2.919584751129150391e+00;7.614226531982421875e+01;-2.344126403331756592e-01
1.664374589920043945e+00;8.340537261962890625e+01;-2.394236326217651367e-01;1.916355013847351074e+00;8.272790527343750000e+01;-2.330801039934158325e-01
2.032227277755737305e+00;7.324910736083984375e+01;-2.307271659374237061e-01;2.504708766937255859e+00;7.362257385253906250e+01;-2.381083071231842041e-01
3.122569084167480469e+00;7.186750030517578125e+01;-2.419467568397521973e-01;2.505814313888549805e+00;7.250006103515625000e+01;-2.420154809951782227e-01
1.512575626373291016e+00;8.416822814941406250e+01;-2.405201941728591919e-01;2.033847093582153320e+00;8.249571990966796875e+01;-2.341897487640380859e-01
3.238616943359375000e+00;7.489483642578125000e+01;-2.377473413944244385e-01;2.924607992172241211e+00;7.507431793212890625e+01;-2.393736839294433594e-01
3.053123950958251953e+00;7.620063781738281250e+01;-2.465251684188842773e-01;3.123122930526733398e+00;7.388371276855468750e+01;-2.419638186693191528e-01
1.864635229110717773e+00;7.569386291503906250e+01;-2.341781854629516602e-01;2.993060111999511719e+00;7.573072052001953125e+01;-2.348849177360534668e-01
4.208992481231689453e+00;6.828620147705078125e+01;-2.481143474578857422e-01;3.069836139678955078e+00;7.049691772460937500e+01;-2.407045811414718628e-01
1.760213851928710938e+00;8.580635070800781250e+01;-2.382344603538513184e-01;1.705538749694824219e+00;8.630400085449218750e+01;-2.463955283164978027e-01
1.128875160217285156e+01;7.971170806884765625e+01;-1.457006335258483887e-01;6.132583141326904297e+00;6.812017822265625000e+01;-2.996747195720672607e-01
3.368296861648559570e+00;7.691073608398437500e+01;-2.574642002582550049e-01;2.646574258804321289e+00;7.781559753417968750e+01;-2.461319267749786377e-01
3.177199840545654297e+00;7.704345703125000000e+01;-2.614884674549102783e-01;2.663096904754638672e+00;7.833860778808593750e+01;-2.475470602512359619e-01
5.538181304931640625e+00;6.766767120361328125e+01;-2.757755517959594727e-01;2.887817859649658203e+00;7.055241394042968750e+01;-2.519172132015228271e-01
2.016834497451782227e+00;8.017231750488281250e+01;-2.524988651275634766e-01;1.824936866760253906e+00;7.983093261718750000e+01;-2.429716438055038452e-01
9.816778898239135742e-01;8.974128723144531250e+01;-2.384169697761535645e-01;1.483769655227661133e+00;9.036102294921875000e+01;-2.394959926605224609e-01
1.797923326492309570e+00;7.762436676025390625e+01;-2.531928420066833496e-01;1.975439190864562988e+00;7.770716857910156250e+01;-2.456532716751098633e-01
1.860960721969604492e+00;8.009877014160156250e+01;-2.380043268203735352e-01;2.228384256362915039e+00;7.934053039550781250e+01;-2.365613579750061035e-01
1.518384933471679688e+00;7.731485748291015625e+01;-2.489884495735168457e-01;2.138539791107177734e+00;7.651819610595703125e+01;-2.397935390472412109e-01
2.131067276000976562e+00;6.952330780029296875e+01;-2.573970556259155273e-01;2.194062948226928711e+00;6.932568359375000000e+01;-2.517159581184387207e-01
1.064480662345886230e+00;9.096652221679687500e+01;-2.455334812402725220e-01;1.473296165466308594e+00;9.119554901123046875e+01;-2.413026094436645508e-01
2.033750534057617188e+00;7.788356781005859375e+01;-2.570345401763916016e-01;1.808554649353027344e+00;7.722853851318359375e+01;-2.506703436374664307e-01
3.881381511688232422e+00;7.212603759765625000e+01;-2.742650806903839111e-01;3.546602487564086914e+00;7.117922973632812500e+01;-2.692330181598663330e-01
2.756237983703613281e+00;7.959598541259765625e+01;-2.470200210809707642e-01;2.150732278823852539e+00;7.900190734863281250e+01;-2.398835718631744385e-01
3.124913454055786133e+00;7.186737823486328125e+01;-2.561419308185577393e-01;2.418349027633666992e+00;7.131118011474609375e+01;-2.464563399553298950e-01
2.931255578994750977e+00;8.003876495361328125e+01;-2.533098757266998291e-01;2.422371864318847656e+00;8.078929901123046875e+01;-2.417283356189727783e-01
3.044425487518310547e+00;7.225971984863281250e+01;-2.622763514518737793e-01;2.398595333099365234e+00;7.424950408935546875e+01;-2.481635659933090210e-01
3.037966012954711914e+00;7.572348022460937500e+01;-2.487831264734268188e-01;2.926047801971435547e+00;7.654882049560546875e+01;-2.443303465843200684e-01
2.692302227020263672e+00;7.867556762695312500e+01;-2.359059005975723267e-01;3.650794029235839844e+00;7.719581604003906250e+01;-2.434678822755813599e-01
3.421319484710693359e+00;7.919922637939453125e+01;-2.291707545518875122e-01;3.214383125305175781e+00;7.957708740234375000e+01;-2.360052764415740967e-01
3.319567680358886719e+00;6.740920257568359375e+01;-2.507628202438354492e-01;3.223604202270507812e+00;6.811525726318359375e+01;-2.511587142944335938e-01
2.594892740249633789e+00;7.527928924560546875e+01;-2.489381432533264160e-01;2.570539712905883789e+00;7.506013488769531250e+01;-2.451167106628417969e-01
2.374098062515258789e+00;7.507417297363281250e+01;-2.502823472023010254e-01;2.624094247817993164e+00;7.452500152587890625e+01;-2.425246834754943848e-01
2.378244161605834961e+00;8.146324920654296875e+01;-2.470813989639282227e-01;2.477729320526123047e+00;8.116812133789062500e+01;-2.411044836044311523e-01
3.064060211181640625e+00;7.925991058349609375e+01;-2.437692880630493164e-01;3.008189678192138672e+00;7.840547180175781250e+01;-2.381332814693450928e-01
3.282364130020141602e+00;8.439043426513671875e+01;-2.336621582508087158e-01;3.096555948257446289e+00;8.301140594482421875e+01;-2.362871021032333374e-01
3.126913309097290039e+00;7.859776306152343750e+01;-2.394930273294448853e-01;3.040390014648437500e+00;7.815657806396484375e+01;-2.369121164083480835e-01
2.053053379058837891e+00;7.484568023681640625e+01;-2.503601908683776855e-01;2.658229589462280273e+00;7.431598663330078125e+01;-2.390862405300140381e-01
2.861305475234985352e+00;8.513203430175781250e+01;-2.373632490634918213e-01;2.618329048156738281e+00;8.386502075195312500e+01;-2.424716949462890625e-01
2.642341852188110352e+00;7.929462432861328125e+01;-2.458501458168029785e-01;2.516237258911132812e+00;7.897893524169921875e+01;-2.437575161457061768e-01
2.190107822418212891e+00;7.207411956787109375e+01;-2.544953823089599609e-01;2.667710304260253906e+00;7.300446319580078125e+01;-2.474903166294097900e-01
3.686033248901367188e+00;8.259265136718750000e+01;-2.323575615882873535e-01;3.189763307571411133e+00;8.109030914306640625e+01;-2.383841276168823242e-01
3.419381141662597656e+00;7.605243682861328125e+01;-2.359782159328460693e-01;3.151311397552490234e+00;7.609438323974609375e+01;-2.397201061248779297e-01
2.053965568542480469e+00;7.177354431152343750e+01;-2.492053508758544922e-01;2.873288393020629883e+00;7.157218933105468750e+01;-2.428478896617889404e-01
3.407413244247436523e+00;7.574609375000000000e+01;-2.438415884971618652e-01;3.080188274383544922e+00;7.449182891845703125e+01;-2.392097711563110352e-01
3.556746721267700195e+00;7.433837127685546875e+01;-2.658117413520812988e-01;4.326794624328613281e+00;7.270462799072265625e+01;-2.638792991638183594e-01
2.245302677154541016e+00;7.934051513671875000e+01;-2.564268112182617188e-01;2.463702201843261719e+00;7.928509521484375000e+01;-2.434418201446533203e-01
3.230475902557373047e+00;7.439128112792968750e+01;-2.721914649009704590e-01;3.957493543624877930e+00;7.443457794189453125e+01;-2.624753117561340332e-01
3.172216892242431641e+00;7.101222991943359375e+01;-2.724319100379943848e-01;3.894283294677734375e+00;6.986489868164062500e+01;-2.595638632774353027e-01
3.360357999801635742e+00;8.266306304931640625e+01;-2.479717135429382324e-01;2.488961935043334961e+00;8.309517669677734375e+01;-2.356252819299697876e-01
2.913569927215576172e+00;8.280042266845703125e+01;-2.441927790641784668e-01;3.170361995697021484e+00;8.096672058105468750e+01;-2.430229932069778442e-01
2.273448228836059570e+00;7.429485321044921875e+01;-2.569648623466491699e-01;2.878720521926879883e+00;7.454887390136718750e+01;-2.402873337268829346e-01
2.860216617584228516e+00;7.609315490722656250e+01;-2.536080479621887207e-01;3.036038875579833984e+00;7.536649322509765625e+01;-2.446552813053131104e-01
