prop1;prop2;prop3;allprop
3.738;78.338;-0.279;[3.7377233505249023, 78.33820343017578, -0.2791355848312378]
2.618;82.363;-0.28;[2.618224859237671, 82.36334991455078, -0.28012847900390625]
1.883;84.726;-0.284;[1.8834502696990967, 84.72649383544922, -0.284442663192749]
1.364;89.687;-0.291;[1.3635529279708862, 89.68739318847656, -0.2913972735404968]
1.628;87.039;-0.276;[1.6276280879974365, 87.03925323486328, -0.275754451751709]
1.714;83.171;-0.29;[1.7137362957000732, 83.1710433959961, -0.2897787094116211]
1.868;81.869;-0.285;[1.8677818775177002, 81.86917114257812, -0.2847438454627991]
1.318;89.74;-0.296;[1.318171501159668, 89.7400131225586, -0.29576700925827026]
1.297;88.549;-0.285;[1.2973036766052246, 88.54904174804688, -0.28518277406692505]
2.187;81.745;-0.287;[2.1872470378875732, 81.74473571777344, -0.2868190407752991]
1.047;89.032;-0.285;[1.0466822385787964, 89.03206634521484, -0.2854912281036377]
1.737;81.98;-0.282;[1.737323522567749, 81.97959899902344, -0.28160470724105835]
2.44;83.902;-0.294;[2.4402716159820557, 83.90235900878906, -0.29376137256622314]
4.104;76.648;-0.29;[4.10375452041626, 76.64765930175781, -0.29015278816223145]
1.916;80.812;-0.294;[1.916468858718872, 80.81182098388672, -0.294425368309021]
0.575;94.908;-0.317;[0.5753211975097656, 94.90763092041016, -0.31656843423843384]
4.068;90.421;-0.299;[4.068010330200195, 90.4209213256836, -0.2987678050994873]
1.358;88.327;-0.301;[1.3584449291229248, 88.32686614990234, -0.3008228540420532]
1.268;87.814;-0.296;[1.2680144309997559, 87.81352233886719, -0.2956683039665222]
4.221;83.246;-0.281;[4.2210307121276855, 83.2462387084961, -0.2812379002571106]
3.973;72.739;-0.273;[3.973050594329834, 72.7388687133789, -0.27346479892730713]
4.217;69.114;-0.277;[4.216861724853516, 69.11424255371094, -0.27686166763305664]
2.984;81.669;-0.274;[2.983877420425415, 81.66895294189453, -0.2742322087287903]
2.727;81.956;-0.274;[2.727447509765625, 81.95600891113281, -0.2742388844490051]
2.702;71.925;-0.285;[2.70198392868042, 71.9250259399414, -0.2853127717971802]
2.808;78.682;-0.28;[2.8083767890930176, 78.68172454833984, -0.2800043821334839]
3.309;74.936;-0.279;[3.3094682693481445, 74.93614196777344, -0.2788510322570801]
2.963;68.551;-0.279;[2.9626243114471436, 68.55136108398438, -0.27924197912216187]
2.916;68.354;-0.279;[2.9157450199127197, 68.3540267944336, -0.279304563999176]
2.89;74.874;-0.276;[2.890442132949829, 74.87391662597656, -0.27592313289642334]
3.082;78.598;-0.278;[3.08197021484375, 78.59783935546875, -0.2778599262237549]
2.934;85.856;-0.283;[2.9337306022644043, 85.85559844970703, -0.2826576828956604]
3.329;78.232;-0.278;[3.328948497772217, 78.23193359375, -0.2775372266769409]
2.68;71.908;-0.279;[2.679621458053589, 71.90807342529297, -0.27864938974380493]
2.733;75.297;-0.275;[2.7327523231506348, 75.29689025878906, -0.27525120973587036]
3.48;78.347;-0.303;[3.480497121810913, 78.34659576416016, -0.3028392791748047]
4.901;72.856;-0.296;[4.900697708129883, 72.85554504394531, -0.29625123739242554]
3.547;85.258;-0.296;[3.5469820499420166, 85.25824737548828, -0.2957283854484558]
4.87;79.637;-0.294;[4.87010383605957, 79.63658142089844, -0.29363709688186646]
3.526;81.593;-0.293;[3.526477098464966, 81.59300994873047, -0.2931130528450012]
4.93;76.905;-0.293;[4.929715633392334, 76.90477752685547, -0.2928963303565979]
3.396;77.978;-0.292;[3.3963935375213623, 77.9775619506836, -0.29206210374832153]
4.716;72.771;-0.299;[4.715977191925049, 72.77128601074219, -0.29879117012023926]
3.411;74.241;-0.301;[3.411383628845215, 74.2411117553711, -0.30073708295822144]
4.887;69.369;-0.298;[4.886941432952881, 69.36936950683594, -0.2977851629257202]
4.833;73.283;-0.296;[4.832976341247559, 73.28339385986328, -0.2959091067314148]
3.346;75.11;-0.296;[3.3460021018981934, 75.1102523803711, -0.29562169313430786]
1.905;75.898;-0.293;[1.9052751064300537, 75.8980712890625, -0.29292845726013184]
3.434;71.351;-0.298;[3.433558702468872, 71.3510513305664, -0.2976144552230835]
2.611;77.519;-0.287;[2.6111643314361572, 77.51919555664062, -0.2865762710571289]
0.972;90.503;-0.295;[0.9722508788108826, 90.50335693359375, -0.29469406604766846]
1.323;90.729;-0.298;[1.3225703239440918, 90.72876739501953, -0.29759591817855835]
3.166;71.058;-0.278;[3.1656525135040283, 71.0576400756836, -0.27811551094055176]
2.943;78.644;-0.277;[2.9433536529541016, 78.64352416992188, -0.27653253078460693]
3.26;78.815;-0.272;[3.2601635456085205, 78.81497192382812, -0.27153480052948]
3.135;71.281;-0.273;[3.1348719596862793, 71.2806396484375, -0.2731400728225708]
3.223;71.533;-0.273;[3.2234530448913574, 71.5331802368164, -0.27333498001098633]
2.924;71.085;-0.276;[2.9242162704467773, 71.08470153808594, -0.27591848373413086]
2.337;77.35;-0.277;[2.336879253387451, 77.34960174560547, -0.27701789140701294]
0.323;99.005;-0.311;[0.3228462338447571, 99.00482177734375, -0.31120896339416504]
1.535;92.103;-0.295;[1.5351142883300781, 92.10273742675781, -0.2950659990310669]
2.013;85.066;-0.283;[2.0129013061523438, 85.06555938720703, -0.28302401304244995]
2.314;77.778;-0.275;[2.314208984375, 77.77752685546875, -0.2747328281402588]
2.021;77.808;-0.278;[2.0213489532470703, 77.80818176269531, -0.2782517671585083]
1.92;81.247;-0.282;[1.9204792976379395, 81.24696350097656, -0.28174257278442383]
1.956;77.992;-0.274;[1.9557735919952393, 77.99202728271484, -0.2743656039237976]
1.606;88.569;-0.291;[1.6062352657318115, 88.56884765625, -0.2909127473831177]
0.968;89.649;-0.301;[0.9684492349624634, 89.6493911743164, -0.30067604780197144]
1.803;81.805;-0.282;[1.8031389713287354, 81.80537414550781, -0.2816072702407837]
1.975;81.79;-0.282;[1.9751975536346436, 81.78961181640625, -0.28209245204925537]
2.39;78.366;-0.274;[2.390353202819824, 78.36613464355469, -0.27440398931503296]
1.848;81.831;-0.282;[1.848095178604126, 81.83113861083984, -0.2815796136856079]
2.245;78.24;-0.276;[2.2453880310058594, 78.24034881591797, -0.27585917711257935]
2.519;71.263;-0.272;[2.5185272693634033, 71.26324462890625, -0.2716096043586731]
2.015;80.638;-0.298;[2.015346050262451, 80.63834381103516, -0.2978038191795349]
1.125;87.804;-0.302;[1.1245238780975342, 87.803955078125, -0.3016538619995117]
1.487;87.591;-0.304;[1.4867383241653442, 87.59100341796875, -0.30391889810562134]
1.496;87.933;-0.304;[1.4961862564086914, 87.9325942993164, -0.3039340376853943]
4.379;82.773;-0.286;[4.379417896270752, 82.77318572998047, -0.2863107919692993]
3.417;75.293;-0.283;[3.4166829586029053, 75.29301452636719, -0.28315508365631104]
3.597;72.773;-0.283;[3.597432851791382, 72.77262878417969, -0.28308165073394775]
3.892;86.887;-0.282;[3.892033815383911, 86.88736724853516, -0.282107949256897]
3.948;83.798;-0.293;[3.9479098320007324, 83.79762268066406, -0.29334068298339844]
3.35;82.082;-0.286;[3.349604845046997, 82.08158874511719, -0.2857319712638855]
3.653;79.615;-0.281;[3.6525232791900635, 79.61502075195312, -0.28083497285842896]
3.318;82.66;-0.289;[3.3179519176483154, 82.65990447998047, -0.2890583872795105]
3.191;75.654;-0.285;[3.190948247909546, 75.65425872802734, -0.285057008266449]
2.98;75.652;-0.287;[2.9802708625793457, 75.65238952636719, -0.28749924898147583]
3.413;68.222;-0.282;[3.4125816822052, 68.22152709960938, -0.28204023838043213]
4.06;73.84;-0.286;[4.060482501983643, 73.83971405029297, -0.28567153215408325]
3.665;75.49;-0.288;[3.665255546569824, 75.4896011352539, -0.2881656885147095]
4.456;70.53;-0.295;[4.456396102905273, 70.5301284790039, -0.29480159282684326]
2.776;84.903;-0.293;[2.775644302368164, 84.90262603759766, -0.29282915592193604]
3.629;78.691;-0.287;[3.6287264823913574, 78.69087982177734, -0.2867708206176758]
2.794;78.105;-0.291;[2.7943623065948486, 78.1051025390625, -0.29113757610321045]
3.454;71.996;-0.285;[3.4540677070617676, 71.9958724975586, -0.28473275899887085]
3.458;69.44;-0.287;[3.4576358795166016, 69.43975830078125, -0.2874094247817993]
2.585;71.262;-0.289;[2.585073471069336, 71.26194763183594, -0.2887188792228699]
3.312;66.058;-0.295;[3.3122379779815674, 66.05781555175781, -0.29492390155792236]
3.197;78.996;-0.289;[3.197460412979126, 78.99637603759766, -0.2890246510505676]
1.338;88.66;-0.294;[1.3379836082458496, 88.66020202636719, -0.29354721307754517]
1.835;80.759;-0.272;[1.8345768451690674, 80.75862121582031, -0.2719256281852722]
1.351;85.926;-0.299;[1.35109281539917, 85.92566680908203, -0.2991675138473511]
2.212;79.163;-0.294;[2.2120425701141357, 79.16264343261719, -0.2940540313720703]
2.122;76.38;-0.289;[2.122124671936035, 76.38002014160156, -0.2893671989440918]
1.307;86.648;-0.292;[1.3066378831863403, 86.64844512939453, -0.2918244004249573]
2.038;77.859;-0.28;[2.0379011631011963, 77.85872650146484, -0.27966421842575073]
1.836;74.878;-0.266;[1.8355441093444824, 74.8775405883789, -0.2661268711090088]
1.726;91.406;-0.299;[1.725893497467041, 91.40617370605469, -0.29926663637161255]
2.772;76.082;-0.271;[2.7716434001922607, 76.08248138427734, -0.27149081230163574]
3.092;76.275;-0.288;[3.0924530029296875, 76.27516174316406, -0.287824809551239]
2.381;76.277;-0.292;[2.3813188076019287, 76.27685546875, -0.29150861501693726]
2.978;69.446;-0.275;[2.9775969982147217, 69.44583129882812, -0.2751222252845764]
1.546;100.013;-0.304;[1.546372413635254, 100.0133056640625, -0.30372780561447144]
5.258;82.066;-0.248;[5.258471488952637, 82.06562042236328, -0.24758334457874298]
3.507;79.765;-0.27;[3.5072362422943115, 79.7646713256836, -0.27000147104263306]
3.696;80.74;-0.27;[3.6960179805755615, 80.73957824707031, -0.2700916528701782]
3.845;73.153;-0.258;[3.8448238372802734, 73.1532211303711, -0.2583513855934143]
1.923;85.336;-0.275;[1.9228324890136719, 85.33560943603516, -0.275037944316864]
0.628;100.313;-0.299;[0.6283724904060364, 100.31342315673828, -0.29918748140335083]
1.819;82.36;-0.274;[1.8191416263580322, 82.35993194580078, -0.27354151010513306]
2.008;88.106;-0.288;[2.0075249671936035, 88.10641479492188, -0.2881324291229248]
1.525;83.842;-0.289;[1.5246039628982544, 83.84239959716797, -0.2888648509979248]
2.11;75.776;-0.256;[2.1102089881896973, 75.77554321289062, -0.25646066665649414]
0.922;93.116;-0.293;[0.9224647283554077, 93.11644744873047, -0.2934098243713379]
1.851;79.953;-0.265;[1.851489543914795, 79.95262145996094, -0.2650524973869324]
3.976;73.977;-0.274;[3.976057767868042, 73.9774169921875, -0.2740541696548462]
2.871;81.009;-0.277;[2.870678663253784, 81.00874328613281, -0.2772727608680725]
3.073;74.643;-0.266;[3.0734472274780273, 74.64256286621094, -0.2658591866493225]
3.05;83.697;-0.275;[3.0497183799743652, 83.69747161865234, -0.2748321294784546]
2.998;76.319;-0.275;[2.998497247695923, 76.3188247680664, -0.2752115726470947]
2.547;74.568;-0.271;[2.5472517013549805, 74.56776428222656, -0.27082616090774536]
2.703;77.732;-0.285;[2.7034378051757812, 77.73226928710938, -0.28543728590011597]
2.693;79.142;-0.269;[2.6934659481048584, 79.1415786743164, -0.2694981098175049]
2.935;67.598;-0.263;[2.9351658821105957, 67.59797668457031, -0.26334983110427856]
2.664;76.024;-0.27;[2.664268732070923, 76.0242691040039, -0.2701191306114197]
2.702;76.286;-0.272;[2.70206356048584, 76.28600311279297, -0.27223026752471924]
2.156;82.441;-0.276;[2.155863046646118, 82.44099426269531, -0.27589476108551025]
3.108;81.005;-0.254;[3.1075756549835205, 81.00502014160156, -0.2535041570663452]
2.919;87.518;-0.275;[2.9187090396881104, 87.51825714111328, -0.274888277053833]
3.005;80.724;-0.275;[3.0046815872192383, 80.72418212890625, -0.27506399154663086]
2.025;75.792;-0.279;[2.025245189666748, 75.79224395751953, -0.27896368503570557]
2.563;86.987;-0.275;[2.56274676322937, 86.98657989501953, -0.2745600938796997]
2.55;79.917;-0.273;[2.5503454208374023, 79.9166030883789, -0.2727794051170349]
2.29;72.836;-0.28;[2.289703369140625, 72.83639526367188, -0.2801326513290405]
2.853;85.312;-0.274;[2.8534047603607178, 85.31229400634766, -0.2743660807609558]
2.624;78.186;-0.282;[2.624262571334839, 78.18610382080078, -0.28181952238082886]
1.959;72.957;-0.275;[1.9592773914337158, 72.95655822753906, -0.27527832984924316]
2.163;77.237;-0.271;[2.1625959873199463, 77.237060546875, -0.2711096405982971]
3.89;74.021;-0.294;[3.890423536300659, 74.02088928222656, -0.29381757974624634]
2.512;79.347;-0.286;[2.5115017890930176, 79.34652709960938, -0.2862702012062073]
3.93;73.904;-0.29;[3.930377721786499, 73.90372467041016, -0.2897424101829529]
3.011;72.091;-0.279;[3.0108237266540527, 72.0910873413086, -0.2794566750526428]
3.81;83.343;-0.272;[3.8100221157073975, 83.34320068359375, -0.27177757024765015]
3.08;83.403;-0.272;[3.079890251159668, 83.40283203125, -0.27210021018981934]
2.632;73.792;-0.297;[2.6319804191589355, 73.79248809814453, -0.2968454957008362]
2.886;76.137;-0.265;[2.885617733001709, 76.13736724853516, -0.2652742266654968]
3.7;75.721;-0.259;[3.699784755706787, 75.7214126586914, -0.2591179609298706]
2.483;76.292;-0.269;[2.4831526279449463, 76.29173278808594, -0.2688170075416565]
2.814;64.975;-0.281;[2.8140854835510254, 64.97490692138672, -0.2813446521759033]
3.96;78.91;-0.293;[3.9600436687469482, 78.91000366210938, -0.29269492626190186]
0.955;83.294;-0.283;[0.9554795622825623, 83.29405975341797, -0.2833380103111267]
3.651;78.406;-0.288;[3.65144681930542, 78.40646362304688, -0.2876070737838745]
3.764;75.34;-0.292;[3.7636654376983643, 75.34019470214844, -0.29154646396636963]
3.774;71.744;-0.295;[3.7738242149353027, 71.74390411376953, -0.2951852083206177]
2.123;80.284;-0.28;[2.1225743293762207, 80.28421020507812, -0.28001391887664795]
1.55;87.105;-0.289;[1.5496726036071777, 87.10464477539062, -0.2893926501274109]
1.83;80.284;-0.285;[1.830064296722412, 80.28357696533203, -0.2845345735549927]
4.016;75.399;-0.277;[4.0158796310424805, 75.39949035644531, -0.2770206332206726]
4.068;69.082;-0.281;[4.068231105804443, 69.08200073242188, -0.28101104497909546]
3.859;89.484;-0.282;[3.859109878540039, 89.4834976196289, -0.2820173501968384]
3.938;82.847;-0.279;[3.937873125076294, 82.8473129272461, -0.2786809802055359]
3.62;79.313;-0.28;[3.6203858852386475, 79.31317138671875, -0.280010461807251]
1.367;80.632;-0.285;[1.367065668106079, 80.63224029541016, -0.28479987382888794]
3.756;76.037;-0.283;[3.75575852394104, 76.03681945800781, -0.28252846002578735]
3.385;81.866;-0.28;[3.3846943378448486, 81.86608123779297, -0.27963942289352417]
3.177;75.168;-0.275;[3.176766872406006, 75.16765594482422, -0.275087833404541]
2.319;82.276;-0.29;[2.318514585494995, 82.27555084228516, -0.28960543870925903]
2.032;84.836;-0.285;[2.0323047637939453, 84.83586120605469, -0.28507715463638306]
1.706;84.932;-0.283;[1.706338882446289, 84.93164825439453, -0.2831275463104248]
1.5;92.18;-0.298;[1.5003023147583008, 92.18009185791016, -0.2979831099510193]
1.435;92.096;-0.296;[1.434984803199768, 92.0955810546875, -0.29564064741134644]
2.046;84.898;-0.283;[2.046081304550171, 84.89766693115234, -0.2834892272949219]
1.97;84.926;-0.284;[1.9699578285217285, 84.92567443847656, -0.28386175632476807]
1.763;84.829;-0.28;[1.76277756690979, 84.82916259765625, -0.2796018719673157]
2.112;77.284;-0.276;[2.112400770187378, 77.28355407714844, -0.2759178876876831]
1.535;84.974;-0.278;[1.5354024171829224, 84.97386932373047, -0.27750951051712036]
2.511;76.69;-0.269;[2.51082444190979, 76.68962860107422, -0.26887595653533936]
1.258;91.557;-0.293;[1.2576112747192383, 91.55709838867188, -0.29293692111968994]
2.023;84.089;-0.276;[2.0230183601379395, 84.08856201171875, -0.27609407901763916]
3.578;71.378;-0.273;[3.578233480453491, 71.37842559814453, -0.27305078506469727]
2.937;81.887;-0.278;[2.9369678497314453, 81.88743591308594, -0.2779526710510254]
3.53;78.215;-0.277;[3.530062437057495, 78.21468353271484, -0.2769433259963989]
3.271;87.581;-0.281;[3.271183729171753, 87.5805435180664, -0.2805306315422058]
3.595;79.275;-0.276;[3.5952858924865723, 79.27481842041016, -0.27601027488708496]
3.405;71.459;-0.273;[3.4050416946411133, 71.45867919921875, -0.27310711145401]
3.436;79.618;-0.276;[3.436389207839966, 79.61841583251953, -0.2760103940963745]
3.128;71.395;-0.274;[3.1277570724487305, 71.39462280273438, -0.2735762596130371]
3.175;71.106;-0.268;[3.1754934787750244, 71.10576629638672, -0.26757675409317017]
2.244;84.862;-0.282;[2.2440149784088135, 84.86206817626953, -0.2823293209075928]
2.472;77.916;-0.273;[2.4716947078704834, 77.91602325439453, -0.27320921421051025]
2.129;85.282;-0.281;[2.1287810802459717, 85.28165435791016, -0.28125059604644775]
1.483;92.241;-0.293;[1.4825642108917236, 92.24063110351562, -0.29321426153182983]
1.983;84.941;-0.28;[1.9833855628967285, 84.94078063964844, -0.2797650694847107]
1.866;84.426;-0.281;[1.8664462566375732, 84.42627716064453, -0.2807297706604004]
2.047;81.719;-0.279;[2.046884536743164, 81.71890258789062, -0.27920001745224]
1.608;85.854;-0.279;[1.608241081237793, 85.85448455810547, -0.2790471315383911]
0.286;95.954;-0.303;[0.2862004041671753, 95.95430755615234, -0.302807092666626]
1.692;89.155;-0.291;[1.6919753551483154, 89.1548843383789, -0.29111629724502563]
2.123;81.534;-0.282;[2.1228718757629395, 81.53353881835938, -0.2816547155380249]
1.762;81.484;-0.274;[1.7620255947113037, 81.48387145996094, -0.27428972721099854]
2.357;78.27;-0.273;[2.357423782348633, 78.26969146728516, -0.2727600932121277]
1.714;82.095;-0.278;[1.7140491008758545, 82.0945053100586, -0.27826058864593506]
1.573;87.856;-0.3;[1.573430061340332, 87.85624694824219, -0.3000207543373108]
4.152;90.38;-0.296;[4.152276039123535, 90.38046264648438, -0.2958943247795105]
4.447;76.684;-0.285;[4.447379112243652, 76.68399810791016, -0.2845537066459656]
1.103;88.316;-0.297;[1.1032578945159912, 88.31631469726562, -0.29659563302993774]
4.166;76.446;-0.279;[4.1657395362854, 76.44611358642578, -0.2793295383453369]
4.439;69.639;-0.285;[4.438539028167725, 69.63871765136719, -0.2854406237602234]
4.102;76.048;-0.282;[4.10198974609375, 76.04817199707031, -0.28178495168685913]
3.253;80.043;-0.285;[3.2527079582214355, 80.0434799194336, -0.28509294986724854]
3.303;82.947;-0.291;[3.3028624057769775, 82.94673919677734, -0.2908347249031067]
4.088;80.363;-0.269;[4.088391304016113, 80.36293029785156, -0.26911669969558716]
2.824;82.862;-0.291;[2.8237850666046143, 82.86180114746094, -0.29061126708984375]
3.411;69.273;-0.284;[3.4108052253723145, 69.27274322509766, -0.28402501344680786]
2.749;85.783;-0.295;[2.7488369941711426, 85.78285217285156, -0.29516535997390747]
2.684;79.033;-0.292;[2.6844937801361084, 79.03340911865234, -0.29239797592163086]
3.87;73.423;-0.296;[3.8696231842041016, 73.42273712158203, -0.2962379455566406]
2.28;78.778;-0.291;[2.279778480529785, 78.77767181396484, -0.2910165786743164]
3.545;66.396;-0.295;[3.5446321964263916, 66.39570617675781, -0.29523760080337524]
2.837;72.802;-0.29;[2.8373143672943115, 72.80189514160156, -0.290188729763031]
3.186;83.018;-0.281;[3.1860086917877197, 83.01766204833984, -0.2814553380012512]
2.82;73.336;-0.293;[2.8197968006134033, 73.3362808227539, -0.2933915853500366]
4.174;75.625;-0.283;[4.173874378204346, 75.62531280517578, -0.2834204435348511]
1.366;87.834;-0.293;[1.365668773651123, 87.83401489257812, -0.29299330711364746]
1.941;80.845;-0.289;[1.941288709640503, 80.84484100341797, -0.28925836086273193]
3.949;87.926;-0.285;[3.949044942855835, 87.92646026611328, -0.2851606011390686]
0.751;95.192;-0.301;[0.7508148550987244, 95.19151306152344, -0.3011729121208191]
4.172;82.76;-0.286;[4.172301292419434, 82.75957489013672, -0.2859678864479065]
1.379;87.854;-0.294;[1.3794951438903809, 87.85437774658203, -0.29440414905548096]
4.173;80.275;-0.269;[4.172971725463867, 80.2752456665039, -0.26863181591033936]
1.453;80.978;-0.28;[1.452859878540039, 80.97833251953125, -0.28016525506973267]
4.053;83.925;-0.28;[4.053155422210693, 83.9247055053711, -0.2803856134414673]
1.769;73.83;-0.281;[1.769343376159668, 73.83009338378906, -0.2811185121536255]
3.58;75.829;-0.282;[3.5803937911987305, 75.82872772216797, -0.2819369435310364]
4.244;72.263;-0.28;[4.243902206420898, 72.26337432861328, -0.2795013189315796]
2.577;82.986;-0.288;[2.576871633529663, 82.98634338378906, -0.2877681851387024]
3.302;76.015;-0.28;[3.3018929958343506, 76.01469421386719, -0.2796151638031006]
2.465;75.862;-0.282;[2.4650509357452393, 75.8619384765625, -0.28150075674057007]
2.084;84.714;-0.284;[2.0839779376983643, 84.71427154541016, -0.2836913466453552]
1.777;85.036;-0.282;[1.7766869068145752, 85.03649139404297, -0.2815437316894531]
1.137;92.374;-0.304;[1.136743426322937, 92.3736343383789, -0.30417895317077637]
2.722;78.568;-0.278;[2.7223286628723145, 78.56781768798828, -0.27791255712509155]
2.076;77.594;-0.277;[2.0759403705596924, 77.5941390991211, -0.27746355533599854]
2.08;77.34;-0.276;[2.0799527168273926, 77.33991241455078, -0.2758437991142273]
2.939;71.371;-0.274;[2.9394800662994385, 71.37083435058594, -0.2741386294364929]
2.226;82.198;-0.272;[2.226388931274414, 82.1984634399414, -0.27223169803619385]
1.9;85.761;-0.272;[1.900014877319336, 85.76119995117188, -0.27247440814971924]
2.012;81.406;-0.275;[2.0124433040618896, 81.40570831298828, -0.27522242069244385]
1.995;81.668;-0.275;[1.9954657554626465, 81.66765594482422, -0.2745893597602844]
2.25;74.244;-0.27;[2.249537944793701, 74.24372100830078, -0.26952171325683594]
0.215;96.036;-0.302;[0.21498876810073853, 96.03630828857422, -0.30197036266326904]
1.347;93.215;-0.287;[1.3474639654159546, 93.21455383300781, -0.28696542978286743]
1.711;88.813;-0.285;[1.710512399673462, 88.81281280517578, -0.2847890853881836]
1.793;86.211;-0.275;[1.7926082611083984, 86.21089935302734, -0.27527695894241333]
2.04;85.552;-0.272;[2.040464162826538, 85.552490234375, -0.27229970693588257]
2.19;75.167;-0.269;[2.189720630645752, 75.16674041748047, -0.26944679021835327]
1.464;86.041;-0.278;[1.4639593362808228, 86.0409164428711, -0.2775999903678894]
2.005;81.004;-0.277;[2.0046730041503906, 81.00365447998047, -0.27699822187423706]
2.233;73.746;-0.274;[2.233236789703369, 73.74637603759766, -0.2739536166191101]
2.015;88.181;-0.286;[2.0145275592803955, 88.1807632446289, -0.28606295585632324]
1.391;87.866;-0.292;[1.3909685611724854, 87.86589813232422, -0.2924395799636841]
2.322;74.345;-0.273;[2.322331666946411, 74.34510803222656, -0.2725369334220886]
2.542;67.492;-0.275;[2.541738748550415, 67.49214935302734, -0.2745867967605591]
2.47;74.74;-0.276;[2.4695823192596436, 74.73986053466797, -0.2762629985809326]
0.189;95.562;-0.303;[0.18945038318634033, 95.56208801269531, -0.3033193349838257]
1.485;88.529;-0.288;[1.4846534729003906, 88.52901458740234, -0.2876477837562561]
2.117;81.51;-0.281;[2.117311954498291, 81.50970458984375, -0.280762255191803]
1.422;88.402;-0.288;[1.4223413467407227, 88.4020767211914, -0.28845518827438354]
1.816;81.772;-0.28;[1.8158557415008545, 81.77166748046875, -0.2799745202064514]
2.248;78.022;-0.273;[2.2479088306427, 78.02169799804688, -0.27271974086761475]
1.096;88.636;-0.292;[1.0960463285446167, 88.63616180419922, -0.29223597049713135]
1.971;82.034;-0.28;[1.9712326526641846, 82.03357696533203, -0.280032753944397]
1.688;81.798;-0.284;[1.6880509853363037, 81.79776763916016, -0.2840125560760498]
1.436;81.74;-0.283;[1.4358686208724976, 81.74039459228516, -0.2825061082839966]
2.032;74.569;-0.273;[2.032238721847534, 74.56932067871094, -0.27349138259887695]
1.67;81.782;-0.273;[1.6702778339385986, 81.78205871582031, -0.27300143241882324]
2.248;75.306;-0.275;[2.2479701042175293, 75.3062973022461, -0.27543526887893677]
3.946;79.84;-0.278;[3.945828676223755, 79.84011840820312, -0.2775554060935974]
4.005;76.484;-0.273;[4.004708290100098, 76.48391723632812, -0.27262943983078003]
4.047;86.908;-0.281;[4.046800136566162, 86.90805053710938, -0.28148865699768066]
1.573;88.373;-0.284;[1.5734608173370361, 88.3728256225586, -0.2840297222137451]
4.233;83.491;-0.275;[4.232608795166016, 83.49124908447266, -0.2753414511680603]
4.172;79.972;-0.272;[4.171721935272217, 79.97235870361328, -0.2724210023880005]
1.758;81.78;-0.279;[1.7577812671661377, 81.77972412109375, -0.2790963053703308]
4.218;76.753;-0.275;[4.218097686767578, 76.75272369384766, -0.27522462606430054]
4.237;73.349;-0.278;[4.236955642700195, 73.34854125976562, -0.2781938314437866]
